sentence	count
the	27676
a	20656
of	15498
in	14144
and	12952
is	11740
to	10152
The	9352
was	7349
A	6809
on	5244
are	4769
with	4569
for	3973
He	3346
by	3168
his	3053
at	3050
as	2953
It	2833
man	2554
I	2489
also	2426
an	2258
from	2081
has	2071
that	2025
were	1862
be	1787
he	1781
have	1628
it	1487
this	1475
not	1426
This	1417
her	1307
woman	1295
Two	1240
had	1239
two	1183
one	1148
people	1108
you	1088
In	1055
been	1054
or	1030
She	999
their	997
its	900
into	882
wearing	879
can	867
They	830
young	817
There	799
white	798
up	798
first	781
while	742
other	723
black	699
His	698
playing	685
out	683
some	681
all	678
she	674
shirt	659
group	651
after	643
through	642
but	636
blue	636
they	621
my	619
used	612
girl	612
boy	611
men	610
no	609
down	594
red	587
dog	575
many	567
standing	567
sitting	559
over	557
three	550
more	546
only	538
will	532
very	525
known	514
walking	513
would	495
which	489
most	484
front	467
became	464
about	458
little	455
large	453
An	450
said	450
then	449
These	440
located	434
born	432
later	427
him	423
these	421
made	417
However,	414
several	413
named	413
who	409
called	408
small	408
holding	407
We	405
name	401
there	396
part	387
both	380
now	377
than	375
may	374
near	368
what	368
me	365
looking	363
child	363
during	359
Three	358
new	358
time	350
New	350
like	349
next	346
around	345
did	341
when	341
green	341
city	339
But	339
women	338
another	337
do	336
water	335
we	334
outside	332
After	329
being	328
under	323
person	321
children	321
You	315
each	312
it.	310
street	308
town	307
Some	305
work	305
between	304
brown	302
four	301
such	301
often	300
same	300
use	299
play	294
off	291
your	290
could	290
yellow	288
played	284
found	283
include	283
Many	283
And	281
What	277
All	274
One	274
still	272
area	271
never	270
before	270
them	268
running	267
Its	266
As	265
second	264
family	258
any	256
school	256
For	256
People	252
where	252
along	252
At	249
back	248
riding	246
him.	245
against	244
so	242
School	242
"""The"	242
local	241
years	239
number	237
different	233
album	232
high	232
must	231
well	229
old	227
long	225
included	224
much	221
book	221
working	217
served	215
public	215
plays	214
building	213
music	212
make	212
area.	212
just	211
home	210
within	210
took	209
game	206
went	206
street.	204
last	204
water.	203
main	203
if	202
Man	201
should	200
get	200
see	200
own	197
During	196
five	195
behind	195
band	194
station	191
University	190
Her	189
hat	187
came	187
Several	187
married	187
take	186
does	186
time.	186
good	185
ball	185
John	185
dressed	184
Most	184
stands	184
currently	184
sits	183
player	183
When	182
dogs	182
received	181
early	181
